"","縣市","鄉鎮市區","村里","同意票數","不同意票數","投票數","投票權人數","所得平均數","所得中位數","所得標準差","人口總數","0到9歲","10到19歲","20到29歲","30到39歲","40到49歲","50到59歲","60到69歲","70到79歲","80歲以上"
"116","台北市","大同區","揚雅里",1077,542,1692,4014,966,607,1411.89,4460,304,248,445,758,630,852,697,282,244
"117","台北市","大同區","永樂里",1797,922,2829,4703,1340,659,5172.92,5589,548,476,636,950,782,791,768,400,238
"118","台北市","大同區","玉泉里",956,553,1593,2613,1132,711,1460.09,3101,280,248,335,525,469,403,484,220,137
"119","台北市","大同區","至聖里",2644,1413,4197,7142,1012,647,1556.22,8348,747,592,991,1431,1264,1226,1121,589,387
"120","台北市","大同區","重慶里",2124,1098,3374,5651,1142,719,1942.07,6840,678,644,794,1143,1058,996,885,396,246
"121","台北市","南港區","百福里",1782,887,2768,4733,906,644,965.95,5655,528,490,646,1073,896,799,736,339,148
"122","台北市","南港區","成福里",2642,1364,4162,6741,982,656,1137.84,7997,733,638,922,1558,1233,1138,1074,440,261
"123","台北市","南港區","東明里",1614,787,2470,4093,1250,803,1745.38,4931,473,454,633,807,803,764,557,279,161
"124","台北市","南港區","東新里",2272,1219,3610,6336,947,637,1045.51,7625,732,746,973,1344,1215,1080,907,423,205
"125","台北市","南港區","合成里",2425,1104,3655,5983,1210,681,3010.46,7062,599,564,835,1156,1141,1041,992,479,255
"126","台北市","南港區","鴻福里",1563,820,2469,4011,1039,720,1212.93,4729,400,368,545,863,738,683,641,324,167
"127","台北市","南港區","九如里",2347,967,3441,5592,933,636,1152.93,6742,677,574,818,1128,1069,1006,820,375,275
"128","台北市","南港區","舊莊里",2714,1358,4238,7922,NA,NA,NA,9609,915,924,1286,1720,1563,1400,999,507,295
"129","台北市","南港區","聯成里",1775,837,2688,4508,932,644,1010.58,5324,510,413,621,907,841,755,722,346,209
"130","台北市","南港區","南港里",1976,1000,3061,5655,975,679,995.96,6653,647,592,742,1132,1054,1045,835,388,218
"131","台北市","南港區","仁福里",1990,978,3059,4916,999,706,926.18,5836,459,592,671,812,1217,890,673,324,198
"132","台北市","南港區","三重里",2239,1224,3559,6330,1785,940,3538.4,7664,1053,574,790,1506,1396,1045,817,311,172
"133","台北市","南港區","萬福里",1470,772,2329,3805,1065,676,1388.09,4412,356,311,529,805,586,676,666,300,183
"134","台北市","南港區","西新里",1482,790,2337,4165,890,629,981.17,5049,495,475,602,994,794,700,551,293,145
"135","台北市","南港區","新富里",1412,724,2219,3486,895,619,954.71,4244,459,363,535,783,628,610,458,254,154
"136","台北市","南港區","新光里",1225,588,1861,3337,1157,639,8343.02,3965,363,309,509,697,575,588,544,216,164
"137","台北市","南港區","玉成里",1575,802,2456,4228,971,685,1153.45,5075,513,384,612,912,867,708,598,321,160
"138","台北市","南港區","中南里",1130,570,1762,3315,790,591,817.98,3983,399,345,496,703,601,613,474,218,134
"139","台北市","南港區","中研里",2840,1873,4876,8171,1075,714,1503.78,9840,1079,764,1320,1802,1349,1445,1233,517,331
"140","台北市","南港區","重陽里",1737,982,2803,4580,1702,1036,2217.79,5760,708,600,609,1043,1220,774,489,223,94
"141","台北市","內湖區","安湖里",2321,1384,3812,6644,1140,734,1598.68,8331,910,1037,1248,1337,1203,1282,902,254,158
"142","台北市","內湖區","安泰里",1740,864,2710,4787,905,660,875.52,5844,597,568,739,1144,964,841,667,205,119
"143","台北市","內湖區","寶湖里",2717,1634,4473,7392,2063,1274,2849.53,9078,1166,789,1002,1691,1597,1358,968,341,166
"144","台北市","內湖區","碧山里",2409,1275,3788,6183,1131,741,1758.07,7343,642,725,950,1220,1137,1263,869,311,226
"145","台北市","內湖區","大湖里",1690,1170,2947,4835,1460,896,2831.49,5725,538,475,861,886,853,1046,682,243,141
"146","台北市","內湖區","東湖里",2329,1340,3789,6634,928,675,888.05,8106,791,897,1164,1530,1164,1295,872,248,145
"147","台北市","內湖區","港都里",1729,1011,2825,4732,1206,741,2059.79,6039,661,707,764,1033,875,863,740,240,156
"148","台北市","內湖區","港富里",3175,1610,4949,8285,1180,754,1981.59,10076,909,1074,1323,1671,1442,1552,1330,457,318
"149","台北市","內湖區","港華里",2901,1604,4620,7740,1279,738,2709.14,9772,1149,1056,1176,1717,1476,1337,1306,354,201
"150","台北市","內湖區","港墘里",1966,1093,3162,5276,1183,762,1442.45,6417,584,703,828,1020,986,1029,831,280,156
"151","台北市","內湖區","湖濱里",2863,1513,4498,7310,1478,829,2814.6,8680,724,893,1119,1282,1245,1427,1230,455,305
"152","台北市","內湖區","湖興里",2228,1298,3643,7676,1106,733,1622.11,8935,772,609,1073,1576,1370,1608,1274,407,246
"153","台北市","內湖區","湖元里",1789,976,2844,4808,1173,748,2000.05,5699,537,446,806,1078,715,846,874,246,151
"154","台北市","內湖區","葫洲里",2269,1282,3648,6052,1442,942,1814.95,7922,1037,1094,1018,1126,1279,1270,691,254,153
"155","台北市","內湖區","金湖里",2889,1795,4820,8109,2273,1177,4357.18,10601,1377,1448,1275,1211,1922,1822,895,387,264
"156","台北市","內湖區","金龍里",1695,886,2652,4784,932,673,928.28,5595,500,397,750,977,824,905,787,305,150
"157","台北市","內湖區","金瑞里",2171,1145,3426,5804,1028,725,1056.29,7030,664,712,797,1308,1036,1041,987,288,197
"158","台北市","內湖區","康寧里",2754,1483,4372,7457,1241,844,1678.45,9571,1104,1266,1205,1404,1640,1465,936,329,222
"159","台北市","內湖區","樂康里",2636,1441,4228,7348,922,689,846.55,9203,1049,900,1226,1839,1358,1355,1043,271,162
"160","台北市","內湖區","麗山里",1838,1110,3048,5175,1232,771,2108.12,6385,710,650,796,1162,961,903,783,251,169
"161","台北市","內湖區","蘆洲里",427,202,656,1157,785,581,705.3,1420,153,141,193,251,250,198,142,68,24
"162","台北市","內湖區","明湖里",1769,959,2810,4624,1053,726,1075.25,6026,787,768,763,1065,947,871,563,154,108
"163","台北市","內湖區","南湖里",1721,1146,2939,4647,1694,1125,2109.21,6159,822,884,766,800,1100,984,491,202,110
"164","台北市","內湖區","內溝里",1468,771,2340,4190,983,672,974.37,5022,447,465,747,890,704,872,571,191,135
"165","台北市","內湖區","內湖里",1996,1071,3179,5472,1124,726,1421.91,6159,467,457,875,990,894,1137,826,291,222
"166","台北市","內湖區","清白里",2746,1546,4387,7433,1580,920,2515.05,8888,845,857,1086,1349,1535,1572,1085,319,240
"167","台北市","內湖區","瑞光里",1659,852,2583,4144,1044,714,1221.88,4796,430,289,661,852,608,897,650,227,182
"168","台北市","內湖區","瑞陽里",2603,1319,4065,6880,1200,788,1567.64,8072,655,706,1002,1191,1281,1433,960,477,367
"169","台北市","內湖區","石潭里",1226,678,1958,3520,1401,832,2263.52,4117,437,289,476,850,745,573,426,208,113
"170","台北市","內湖區","五分里",3141,1746,5051,8925,965,688,1062.34,11901,1686,1520,1485,2130,2011,1445,1048,385,191
"171","台北市","內湖區","西安里",2329,1296,3730,5914,1102,746,1303.26,6848,609,456,905,1278,908,1091,1105,297,199
"172","台北市","內湖區","西湖里",2335,1302,3759,6500,999,670,1409.97,7464,609,472,983,1518,943,1143,1212,355,229
"173","台北市","內湖區","西康里",2914,1735,4830,8357,1412,791,3013.71,9726,868,714,1329,1613,1446,1704,1300,472,280
"174","台北市","內湖區","行善里",2145,1111,3363,5998,947,684,847.71,7063,656,559,802,1325,1276,1082,810,334,219
"175","台北市","內湖區","秀湖里",2056,1160,3345,5552,1625,855,2853.78,6489,531,541,929,963,807,1204,936,371,207
"176","台北市","內湖區","週美里",2462,1363,3963,7138,1484,802,2449.85,8315,895,553,976,1570,1472,1211,982,409,247
"177","台北市","內湖區","紫星里",2753,1331,4290,7069,1076,714,1213.46,8314,749,640,1112,1513,1133,1318,1228,394,227
"178","台北市","內湖區","紫陽里",2753,1439,4316,7177,1299,783,2565.44,8462,771,648,1150,1531,1121,1421,1254,343,223
"179","台北市","內湖區","紫雲里",1942,951,2988,5096,1059,727,1165.41,6178,620,599,746,923,1080,986,653,319,252
"180","台北市","士林區","百齡里",2407,1181,3714,6175,857,643,733.68,7577,822,657,886,1404,1148,994,1020,429,217
"181","台北市","士林區","承德里",1776,951,2855,4921,1171,752,1564.93,5823,510,467,676,994,863,901,797,368,247
"182","台北市","士林區","翠山里",962,452,1485,2434,1273,737,2397.95,2764,178,173,292,348,425,492,410,253,193
"183","台北市","士林區","德華里",1757,983,2848,4960,1116,683,5276.18,5837,493,468,726,992,877,830,828,401,222
"184","台北市","士林區","德行里",1470,822,2387,3862,1190,699,2512.63,4583,412,379,506,752,724,676,630,336,168
"185","台北市","士林區","東山里",1784,867,2744,4558,1709,736,7113.95,5372,417,557,725,745,810,849,733,288,248
"186","台北市","士林區","福安里",1368,637,2116,4342,763,557,823.24,5009,369,433,668,853,873,786,543,307,177
"187","台北市","士林區","福德里",1581,783,2479,5331,1139,719,1303.15,6120,402,454,598,806,993,1099,1009,436,323
"188","台北市","士林區","福華里",2025,1012,3171,5632,843,603,880.02,6642,594,534,812,1150,1019,1014,859,401,259
"189","台北市","士林區","福佳里",2598,1294,4022,6779,1227,718,2137.63,8194,833,733,956,1253,1230,1209,1013,616,351
"190","台北市","士林區","福林里",1015,520,1608,2659,1570,759,8285.38,3163,294,223,374,465,449,496,425,249,188
"191","台北市","士林區","福順里",1523,835,2515,4747,868,612,985.08,5543,471,503,615,949,916,782,728,373,206
"192","台北市","士林區","福志里",2457,1368,3972,6757,1281,750,2252.31,7894,683,582,862,1219,1059,1249,1234,590,416
"193","台北市","士林區","福中里",2251,1220,3638,5934,1009,681,1275.74,7355,837,739,785,1326,1283,950,862,400,173
"194","台北市","士林區","富光里",1876,831,2831,5188,763,579,682.63,6211,562,578,712,1148,965,869,802,392,183
"195","台北市","士林區","富洲里",2370,772,3262,5240,738,558,644.15,6111,525,463,830,1095,987,912,729,385,185
"196","台北市","士林區","公館里",431,226,700,1262,1774,668,5613.47,1432,101,87,179,218,203,261,197,103,83
"197","台北市","士林區","後港里",2798,1284,4238,7204,1047,672,1588.29,8611,837,699,1066,1511,1273,1264,1166,525,270
"198","台北市","士林區","葫東里",1293,685,2046,3634,896,617,1317.38,4320,397,357,538,723,703,667,544,243,148
"199","台北市","士林區","葫蘆里",2478,1180,3788,6631,869,646,1149.69,8109,878,717,861,1457,1361,1080,928,541,286
"200","台北市","士林區","菁山里",620,265,941,1475,2206,638,23101.56,1671,129,122,188,259,263,288,221,119,82
"201","台北市","士林區","舊佳里",2120,1087,3341,5565,1254,682,5164.43,6466,536,498,729,1062,912,966,940,513,310
"202","台北市","士林區","蘭興里",2124,1234,3492,5690,1385,822,2074.11,6767,611,567,847,1069,952,1029,1034,425,233
"203","台北市","士林區","蘭雅里",2692,1619,4466,7652,1332,780,3254.6,9113,854,750,1118,1499,1251,1343,1425,554,319
"204","台北市","士林區","臨溪里",898,451,1400,2671,2225,876,4897.11,3067,217,218,374,413,427,533,443,255,187
"205","台北市","士林區","名山里",2372,1290,3800,6297,1279,768,1817.46,7441,635,661,864,1161,1037,1162,1117,512,292
"206","台北市","士林區","明勝里",1683,890,2648,4430,1005,684,1126.25,5204,454,378,596,890,842,728,732,348,236
"207","台北市","士林區","平等里",596,248,904,1360,1019,629,2646.33,1549,90,132,215,223,243,246,201,127,72
"208","台北市","士林區","前港里",1525,793,2411,3942,1103,715,1563.14,4904,489,513,586,837,778,688,613,258,142
"209","台北市","士林區","仁勇里",1255,622,1984,3415,1150,649,4928.37,4166,394,408,483,656,629,599,502,310,185
"210","台北市","士林區","三玉里",1810,1010,2937,5127,1531,792,3849.39,6089,573,460,734,1049,807,912,979,352,223
"211","台北市","士林區","社新里",2921,1407,4530,8041,812,594,734.38,9671,956,880,1077,1737,1602,1306,1256,578,279
"212","台北市","士林區","社園里",2231,1045,3428,6387,811,601,727.48,7733,789,693,935,1464,1164,1035,976,460,217
"213","台北市","士林區","社子里",1987,841,2953,5700,869,619,936.13,6860,683,619,807,1215,1072,974,858,406,226
"214","台北市","士林區","聖山里",1735,945,2774,4457,1357,814,2821.69,5352,461,476,642,818,784,848,782,343,198
"215","台北市","士林區","天福里",2037,1224,3372,5497,1228,759,2220.93,6664,644,691,791,1060,930,988,971,380,209
"216","台北市","士林區","天和里",2292,1458,3879,6605,1718,808,6811.06,8038,730,889,966,1212,1046,1297,1190,396,312
"217","台北市","士林區","天祿里",1555,974,2637,4565,1297,783,2558.83,5494,533,487,620,883,813,729,859,362,208
"218","台北市","士林區","天母里",2007,1157,3290,5828,2169,858,12541.81,7090,647,730,879,967,912,1168,1067,430,290
"219","台北市","士林區","天山里",2235,1225,3568,6105,1355,774,2379.56,7270,628,696,872,1047,921,1163,1153,432,358
"220","台北市","士林區","天壽里",1443,968,2480,4410,2302,927,16146.6,5355,522,530,598,780,772,767,849,327,210
"221","台北市","士林區","天玉里",2748,1516,4401,7594,1847,843,8052.71,9416,951,1027,1060,1357,1316,1397,1375,558,375
"222","台北市","士林區","溪山里",567,227,837,1355,1237,568,8213.84,1540,112,128,183,217,233,250,212,134,71
"223","台北市","士林區","新安里",691,329,1072,1747,4737,612,52561.08,1993,119,137,236,273,261,319,325,179,144
"224","台北市","士林區","岩山里",1078,565,1703,2999,1603,699,7791.84,3534,288,293,426,539,493,583,564,212,136
"225","台北市","士林區","陽明里",1000,458,1576,2781,1771,712,5418.29,3111,199,151,336,462,404,550,500,284,225
"226","台北市","士林區","義信里",1029,518,1620,2834,1208,708,2281.73,3421,312,358,405,512,521,526,418,222,147
"227","台北市","士林區","永福里",447,190,667,1156,3936,831,14968.35,1296,92,85,144,169,199,217,196,108,86
"228","台北市","士林區","永倫里",2255,1066,3504,6383,831,606,810.23,7587,740,496,915,1441,1207,996,1067,481,244
